Country_Name,"MMR per 100,000",MMR_LL,MMR_UL,Births_Attended,New_HIV,Any_Con_All,Any_Con_married,Modern_Con_All,Modern_Con_married,Unmet_Need_Fam_plan_All,Unmet_Need_Fam_plan_married,PM_All,Laws,UHC_Index,Country
New Zealand,7,5,9,97,0.01,65,81,61,75,5,5,88,95,85,new-zealand
Nicaragua,78,54,109,94,0.08,59,82,57,79,6,6,88,75,70,nicaragua
Niger,441,305,655,44,0.06,12,15,12,14,16,20,41,,35,niger
Nigeria,1047,793,1565,51,,18,21,14,16,15,19,43,,38,nigeria
North Macedonia,3,1,6,100,0.03,44,54,21,21,9,13,40,,74,north-macedonia
Norway,2,1,3,99,,66,85,61,79,3,3,89,100,87,norway
Oman,17,12,25,100,0.03,22,37,16,26,14,25,43,70,70,oman
Pakistan,154,109,226,68,,27,40,20,31,11,17,54,69,45,pakistan
Panama,50,46,54,95,0.32,49,61,46,57,14,17,74,72,78,panama
Papua New Guinea,192,126,293,56,0.65,28,39,24,33,17,24,52,,30,papua-new-guinea
Paraguay,71,60,82,92,,60,73,56,68,8,8,83,76,72,paraguay
Peru,69,59,80,95,0.17,51,77,40,58,5,6,71,85,71,peru
Philippines,78,67,96,84,0.21,36,58,27,44,10,15,60,80,58,philippines
Poland,2,1,3,100,,54,74,44,59,6,7,73,89,82,poland
Portugal,12,8,18,99,0.06,59,74,51,63,5,7,79,95,88,portugal
Puerto Rico,34,25,54,,,51,82,47,74,7,5,81,,,puerto-rico
Qatar,8,5,11,100,0.04,33,50,28,42,10,15,65,71,76,qatar
Republic of Korea,8,7,9,100,,56,81,51,74,6,5,82,,89,republic-korea
Republic of Moldova,12,9,17,100,0.34,49,59,40,47,12,15,65,,71,republic-moldova
Réunion,,,,,,52,72,50,71,8,9,84,,,réunion
Romania,10,7,14,93,0.03,54,71,46,59,6,8,76,98,78,romania
Russian Federation,14,9,20,100,,49,68,42,58,7,9,75,70,79,russian-federation
Rwanda,259,184,383,94,0.24,40,67,37,61,9,12,76,82,49,rwanda
Saint Kitts and Nevis,,,,100,,49,61,46,57,12,14,76,,79,saint-kitts-nevis
Saint Lucia,73,44,127,100,,49,61,46,58,12,14,76,33,77,saint-lucia
Saint Vincent and the Grenadines,62,40,92,99,,51,67,49,64,10,12,80,81,69,saint-vincent-grenadines
Samoa,59,26,137,89,,14,22,13,20,28,42,32,22,55,samoa
San Marino,,,,,,,,,,,,,,77,san-marino
Sao Tome and Principe,146,74,253,97,0.06,38,51,36,48,20,24,61,46,59,sao-tome-principe
Saudi Arabia,16,11,22,95,0.04,21,33,18,27,15,24,49,,74,saudi-arabia
Senegal,261,197,376,75,0.09,22,31,21,30,14,21,58,75,50,senegal
Serbia,10,8,14,100,0.02,49,59,29,29,7,11,51,99,72,serbia
Seychelles,3,3,4,100,,,,,,,,,,75,seychelles
Sierra Leone,443,344,587,87,0.44,28,27,28,26,19,24,58,65,41,sierra-leone
Singapore,7,5,11,100,,40,69,36,61,6,10,78,46,89,singapore
Sint Maarten (Dutch part),,,,,,,,,,,,,,,sint-maarten
Slovakia,5,3,6,98,0.02,55,79,47,67,5,6,79,86,82,slovakia
Slovenia,5,3,7,100,,52,79,44,67,4,5,79,,84,slovenia
Solomon Islands,122,75,197,86,,24,33,20,27,13,18,54,,47,solomon-islands
Somalia,621,283,1184,32,,8,10,2,2,17,26,9,,27,somalia
South Africa,127,99,154,97,3.15,52,59,51,59,11,14,82,95,71,south-africa
South Sudan,1223,746,2009,40,0.79,7,9,6,8,21,29,23,16,34,south-sudan
Spain,3,3,4,100,,62,64,60,62,7,12,87,,85,spain
Sri Lanka,29,24,38,100,0.01,45,68,37,56,5,7,74,86,67,sri-lanka
State of Palestine1,20,15,26,100,,40,62,30,47,7,10,64,68,,state-palestine1
Sudan,270,174,420,78,0.09,12,17,11,16,17,27,37,57,44,sudan
Suriname,96,70,128,98,0.76,35,49,35,48,14,21,70,,63,suriname
Sweden,5,3,6,,,59,71,56,68,6,8,87,100,85,sweden
Switzerland,7,5,11,,,73,73,68,68,4,7,89,94,86,switzerland
Syrian Arab Republic,30,19,47,96,0,34,63,26,47,7,12,63,81,64,syrian-arab-republic
Tajikistan,17,9,31,95,0.1,25,34,23,31,16,21,57,,67,tajikistan
Thailand,29,24,34,99,0.13,49,77,48,75,4,6,90,,82,thailand
Timor-Leste,204,147,283,57,0.07,20,34,18,31,13,22,55,,52,timor-leste
Togo,399,253,576,69,0.28,25,28,23,26,22,30,49,,44,togo
Tonga,126,55,289,98,,20,34,17,29,14,25,50,,57,tonga
Trinidad and Tobago,27,19,36,100,,41,50,37,46,14,19,66,27,75,trinidad-tobago
Tunisia,37,24,49,100,,33,60,29,51,8,12,70,,67,tunisia
Türkiye,17,13,23,97,,48,72,33,50,6,9,62,78,76,türkiye
Turkmenistan,5,3,9,100,,36,54,33,50,8,12,77,94,75,turkmenistan
Turks and Caicos Islands,,,,100,,37,39,36,38,19,23,64,,,turks-caicos-islands
Tuvalu,,,,100,,20,27,18,24,20,28,46,,52,tuvalu
Uganda,284,191,471,74,1.21,38,51,34,45,15,20,64,,49,uganda
Ukraine,17,13,22,100,,54,68,45,56,6,9,75,95,76,ukraine
United Arab Emirates,9,5,17,99,,38,53,31,42,12,16,62,,82,united-arab-emirates
United Kingdom of Great Britain and Northern Ireland,10,8,12,,,72,76,65,69,4,6,86,96,88,united-kingdom-great-britain-northern-ireland
United Republic of Tanzania,238,174,381,64,0.54,38,47,34,42,15,19,64,,43,united-republic-tanzania
United States of America,21,16,27,99,,61,76,54,67,5,5,81,,86,united-states-america
United States Virgin Islands,,,,,,45,75,42,70,8,8,79,,,united-states-virgin-islands
Uruguay,19,15,23,100,0.24,59,79,57,77,6,7,87,97,82,uruguay
Uzbekistan,30,23,40,99,,49,70,46,66,6,8,84,92,75,uzbekistan
Vanuatu,94,43,211,89,,38,49,33,42,15,19,62,,47,vanuatu
Venezuela (Bolivarian Republic of),259,191,381,99,,56,76,53,72,8,9,83,,75,venezuela
Viet Nam,46,33,60,96,0.06,58,79,48,66,4,5,78,54,68,viet-nam
Western Sahara,,,,,,,,,,,,,,,western-sahara
Yemen,183,120,271,45,0.03,29,46,21,34,14,22,51,65,42,yemen
Zambia,135,100,201,80,1.86,38,54,37,52,15,17,70,91,56,zambia
Zimbabwe,357,255,456,86,1.12,51,70,50,69,8,9,86,73,55,zimbabwe
